// This list of quantity types and units is converted to c# code by the CodeGenerator T4 template

// http://en.wikipedia.org/wiki/Units_of_measurement
// http://en.wikipedia.org/wiki/Conversion_of_units
// http://en.wikipedia.org/wiki/Quantity
// http://en.wikipedia.org/wiki/Physical_quantities
// http://en.wikipedia.org/wiki/Phenomenon
// http://en.wikipedia.org/wiki/Unit_prefix

// Length
Torque,NewtonCentimetre,N*cm,0.01
Torque,NewtonMillimetre,N*mm,0.001

// Energy (note that Calorie and Btu are according to the International Table)
Energy,Joule,J,1
Energy,Kilojoule,kJ,1e3
Energy,Calorie,cal,4.1868
Energy,NewtonMetreRadian,N*m*rad,1
Energy,WattSecond,W*s,1
Energy,WattHour,W*h,3600
Energy,MilliwattHour,mW*h,3.6
Energy,KilowattHour,kW*h,3.6e6
Energy,MegawattHour,MW*h,3.6e9
Energy,BritishThermalUnit,Btu,1.05505585262e3
Energy,MillionBtu,MMBtu,1.05505585262e9

// Power or heat flow rate
Power,Watt,W,1
Power,Milliwatt,mW,1e-3
Power,Kilowatt,kW,1e3
Power,Megawatt,MW,1e6
Power,HorsePower,hp,735.49875
Power,BtuPerHour,Btu/h,1.05505585262 / 3.6
Power,MillionBtuPerHour,MMBtu/h,1.05505585262e6 / 3.6

// Heat flux density (https://en.wikipedia.org/wiki/Heat_flux)
HeatFluxDensity,WattPerSquareMetre,W/m^2,1
HeatFluxDensity,KilowattPerSquareMetre,kW/m^2,1e3

// Action
Action,AtomicUnitOfAction,au,1.05457168e-34

// Dynamic viscosity
DynamicViscosity,PascalSecond,Pa*s,1
DynamicViscosity,NewtonSecond,N*s,1

// Kinematic viscosity
KinematicViscosity,SquareMetrePerSecond,m^2/s,1
KinematicViscosity,SquareMillimetrePerSecond,mm^2/s,1e-6

// Electric current
ElectricCurrent,Ampere,A,1
ElectricCurrent,Milliampere,mA,1e-3
ElectricCurrent,Microampere,µA,1e-6

// Electric charge
ElectricCharge,Coulomb,C,1
ElectricCharge,Faraday,F,96485.3383
ElectricCharge,AtomicUnitOfCharge,au,1.602176462e-19
ElectricCharge,AmpereSecond,A*s,1
ElectricCharge,AmpereHour,A*h,3600
ElectricCharge,MilliampereHour,mA*h,3.6


// Electric dipole
ElectricDipole,CoulombMetre,C*m,1
ElectricDipole,Debye,D,3.33564095e-30

// Electromotive force, electric potential difference
ElectricVoltage,Volt,V,1
ElectricVoltage,Millivolt,mV,1e-3
ElectricVoltage,Microvolt,µV,1e-6

// Electric resistance
ElectricResistance,Ohm,Ω,1
ElectricResistance,Milliohm,mΩ,1e-3
ElectricResistance,Kiloohm,kΩ,1e3
ElectricResistance,Megaohm,MΩ,1e6

// Electric conductance
ElectricConductance,Siemens,S,1
ElectricConductance,Millisiemens,mS,1e-3
ElectricConductance,Microsiemens,uS,1e-6
ElectricConductance,Kilosiemens,kS,1e3
ElectricConductance,Megasiemens,MS,1e6

// Electric conductivity
ElectricConductivity,SiemensPerMetre,S/m,1
ElectricConductivity,SiemensPerCentimeter,S/cm,1e2
ElectricConductivity,MillisiemensPerCentimeter,mS/cm,1e-1
ElectricConductivity,MicrosiemensPerCentimeter,uS/cm,1e-4

// Capacitance
Capacitance,Farad,F,1

// Magnetic flux
MagneticFlux,Weber,Wb,1
MagneticFlux,Maxwell,Mx,1e-8

// Magnetic flux density
MagneticFluxDensity,Tesla,T,1

// Inductance
Inductance,Henry,H,1
Inductance,Millihenry,mH,1e-3

// Temperature (special case)

// Information entropy
InformationEntropy,JoulePerKelvin,J/K,1
InformationEntropy,Byte,B,7.655952e-23

// Luminous intensity
LuminousIntensity,Candela,cd,1

// Luminance
Luminance,CandelaPerSquareMetre,cd/m^2,1
Luminance,Lambert,L,3183.0988618

// LuminousFlux
LuminousFlux,Lumen,lm,1

// Illuminance
Illuminance,Lux,lx,1

// Radiation
Radiation,Becquerel,Bq,1

// Radiation - exposure
RadiationExposure,Roentgen,R,2.58e-4

// Radiation - absorbed dose
RadiationAbsorbedDose,Gray,Gy,1

// Radiation - equivalent dose
RadiationEquivalentDose,Sievert,Sv,1

// Other quantities

Fraction,Frac,,1
Fraction,Percent,%,0.01
Fraction,Permil,‰,0.001
Fraction,PartPerMillion,ppm,1E-06
Fraction,PartPerBillion,ppb,1E-09

AmountOfSubstance,Mole,mol,1

Stiffness,NewtonPerMetre,N/m,1
RotationalStiffness,NewtonMetrePerRadian,N*m/rad,1

HeatCapacity,JoulePerKelvin,J/K,1

// Specific Heat Capacity (https://en.wikipedia.org/wiki/Heat_capacity)
SpecificHeatCapacity,JoulePerKilogramPerKelvin,J/(kg*K),1
SpecificHeatCapacity,JoulePerGramPerKelvin,J/(g*K),1e3

TemperatureDifference,Kelvin,K,1
TemperatureDifference,DegreeCelsius,C,1
TemperatureDifference,DegreeFahrenheit,F,5.0 / 9.0

// Temperature change over time
TemperatureChange,KelvinPerSecond,K/s,1
TemperatureChange,DegreeCelsiusPerSecond,C/s,1
TemperatureChange,DegreeFahrenheitPerSecond,F/s,5.0 / 9.0
TemperatureChange,KelvinPerMinute,K/min,1 / 60.0
TemperatureChange,DegreeCelsiusPerMinute,C/min,1 / 60.0
TemperatureChange,DegreeFahrenheitPerMinute,F/min,5.0 / 540.0
TemperatureChange,KelvinPerHour,K/h,1.0 / 3600.0
TemperatureChange,DegreeCelsiusPerHour,C/h,1.0 / 3600.0
TemperatureChange,DegreeFahrenheitPerHour,F/h,5.0 / 32400.0

LinearMomentum,KilogramMeterPerSecond,kg*m/s,1
LinearMomentum,NewtonSecond,N*s,1

FirstMomentOfArea,MetreCubed,m^3,1
SecondMomentOfArea,MetreToTheFourth,m^4,1

MassMomentOfInertia,KilogramMetreSquared,kg*m^2,1
MassMomentOfInertia,PoundInchSquared,lb*in^2,0.0002926396534292
MassMomentOfInertia,PoundFootSquared,lb*ft^2,0.0421401100938048
MassMomentOfInertia,PoundforceInchSecondSquared,lbf*in*s^2,0.112984829027604

// Fluidity

Curvature,PerMetre,1/m,1

SectionModulus,MetreCubed,m^3,1

FuelConsumption,LitrePer100Kilometre,l/100km,1e5
FuelEconomy,KilometrePerLitre,km/l,1e6
FuelEconomy,MilesPerGallon,mpg,425143.7074

TypographicLength,Centimetre,cm,0.01
TypographicLength,Point,pt,0.0254 / 72
TypographicLength,Millimetre,mm,0.001
TypographicLength,Metre,m,1.0
TypographicLength,Inch,in,0.0254

TypographicResolution,DotsPerInch,dpi,1 / 0.0254


// TimeSquared - to allow "m/(s*s)""
TimeSquared,SecondSquared,s^2,1

// VelocitySquared - to allow "(m/s)^2"
VelocitySquared,MetreSquaredPerSecondSquared,m^2/s^2,1
